number, postalcode, district, msg
183, 590001, 21, "Utu"
184, 254885, 10, "Hfhkif"
185, 129790, 4, ""
186, 650146, 22, "You"
187, 265444, 10, "Yhgdgh"
188, 487372, 17, ""
189, 424795, 15, ""
190, 485998, 17, ""
191, 482668, 17, "Innovation"
192, 485998, 17, ""
193, 330007, 13, "Stay forever a safe haven for anyone:)"
194, 485991, 17, "More time to sleep"
195, 485999, 17, ""
196, 167026, 6, ""
197, 485998, 17, "pee"
198, 530539, 19, ""
199, 426078, 15, ""
200, 521233, 18, "Sup bro"
201, 448879, 15, "Getting stronger"
202, 161120, 6, "Jiayou for pin up guys! "
203, 485998, 17, "Peace"
204, 487372, 17, "Singapore hooray"
205, 650626, 22, "Greenery"
206, 786541, 27, "Free materials forever"
207, 485995, 17, "Awesome designs for the next 50 years!"
208, 485998, 17, ""
209, 590001, 21, ""
210, 537327, 19, ""
211, 536019, 19, ""
212, 485995, 17, "Happy 50th Birthday Singapore! "
213, 760114, 26, "Humility and prosperity"
214, 520131, 18, "#BuyARTPOPOniTunes"
215, 448851, 15, "Fototot"
216, 510641, 18, "Dedicated cycling routes, bike sharing"
217, 487372, 17, "Invade malaysia"
218, 618480, 22, "Yay"
219, 485999, 17, ""
220, 791441, 28, "Hello world"
221, 439845, 15, "To grow bigger"
222, 535689, 19, "Good economy"
223, 698987, 23, "Towards a brighter future ahead "
224, 530532, 19, "Dynamic and green architecture everywhere!"
225, 487373, 17, "Hi!:)"
226, 398074, 14, "To be happy!"
227, 689577, 23, "Love your neighbours"
228, 555114, 19, ""
229, 520123, 18, "I touch myself at night"
230, 487372, 17, ""
231, 487372, 17, "Merry Christmas and a Happy New Year"
232, 590001, 21, "YAS QUEEN"
233, 424798, 15, "<3"
234, 485998, 17, ""
235, 650268, 22, "Another prosperous 50 years!"
236, 330007, 13, "Stay forever a safe haven for anyone:)"
237, 225886, 9, "111"
238, 487372, 17, "To be happy "
239, 426078, 15, ""
240, 487373, 17, "Pika poop "
241, 570234, 20, "Lalalalala"
242, 487372, 17, "Meh"
243, 248440, 10, "Happy"
244, 167026, 6, "Happy birthday Singapore "
245, 465560, 16, "To conquer Johor "
246, 521233, 18, "Hi"
247, 560614, 19, "Legalised medicinal herbs"
248, 448879, 15, "Hi"
249, 520804, 18, ""
250, 680506, 23, ""
251, 520123, 18, "Artpop"
252, 485991, 17, ""
253, 487372, 17, "for it to be happier"
254, 521496, 18, "Ho Ho Ho"
255, 487373, 17, "To progress together"
256, 487372, 17, "To be able to define our national identity"
257, 487372, 17, "That we work together for a greater future! "
258, 487372, 17, "All in harmony and peace"
259, 257723, 10, "To be loved"
260, 398074, 14, ":)"
261, 485326, 17, "T3st"
262, 520886, 18, "Ho Ho Ho "
263, 485998, 17, "Peace"
264, 760269, 26, "Pika Pika"
265, 487372, 17, "I dream for Singaporeans to question more, and follow rules for a reason and not blindly."
266, 487372, 17, "For the land to fly one day"
267, 485885, 17, "Awesome designs for the next 50 years!"
268, 325687, 12, "Huh"
269, 518750, 18, "Nash lemak"
270, 388565, 14, "Didifoglyp"
271, 665438, 23, ""
272, 523678, 18, ""
273, 456975, 16, "Fbssb"
274, 530239, 19, ""
275, 160010, 6, ""
276, 130036, 5, "Gehjfs"
277, 248440, 10, "Wisdom"
278, 733684, 25, "Everyone to be happy"
279, 248440, 10, "A generation who honours and shows kindness"
280, 590013, 21, ""
281, 530239, 19, ""
282, 530239, 19, "Hello Sonic sg"
283, 140167, 5, "Happiness, prosperity and progress for our nation!!!"
284, 245678, 10, "Jsjsn"
285, 197916, 8, ""
286, 520133, 18, "yaaaaaaAAAAAAS GAGA YAAAAAS OMG YAAAAAAS SLAY MAMA OH MY GOD YOU LOOK SO GOOD YAAAAAAAAAAS"
287, 481267, 17, "Test"
288, 410647, 15, "More land space!"
289, 590001, 21, "Gfgy"
290, 454325, 16, "Hejjajans"
291, 156987, 5, "lflefe;fe"
292, 248440, 10, "Luck!"
293, 248440, 10, "Happiness "
294, 456895, 16, "Gggguh"
295, 665807, 23, ""
296, 486069, 17, "Ghffh"
297, 389754, 14, "Sharing is caring."
298, 487372, 17, "Freebies for everyone"
299, 270019, 11, "Peace and prosperity"
300, 590001, 21, "Gfdg"
301, 123456, 4, ""
302, 437906, 15, ""
303, 437906, 15, ""
304, 123456, 4, ""
305, 456426, 16, "Hh"
306, 123456, 4, ""
307, 547655, 19, "Thejks"
308, 654321, 22, ""
309, 223654, 9, ""
310, 654236, 22, ""
311, 145362, 5, ""
312, 652341, 22, ""
313, 234869, 10, "Hi"
314, 760741, 26, "Helallo"
315, 509373, 17, "Dream on!"
316, 680509, 23, ""
317, 680509, 23, ""
318, 680509, 23, ""
319, 680509, 23, "GO SG50!!!!!!"
320, 680509, 23, "GO SG50!!!!!!!"
321, 680590, 23, ""
322, 139948, 5, "Go sg50!!!!"
323, 509373, 17, "Dream on man. "
324, 506889, 17, "I love singaporean "
325, 509373, 17, "I love sf"
326, 590001, 21, "Hgfffggg"
327, 777777, 27, "sdsdsds"
328, 590001, 21, "Ffhj</br>"
329, 590001, 21, "Uffur"
330, 590001, 21, ""
331, 130036, 5, "Hsbnsnaa"
332, 333333, 13, "Testing anusha"
333, 719026, 24, ""
334, 647965, 22, "Idksjn"
335, 590001, 21, ""
336, 486069, 17, "Hsjsjsj"
337, 486069, 17, "Hddhs"
338, 511949, 18, "Hdhsks"
339, 590001, 21, ""
340, 248599, 10, "Hdjsjsjzkz"
341, 486069, 17, "Hsbssn"
342, 480689, 17, "Hdhhsja"
343, 577953, 20, "Jsskkssnna"
344, 124355, 4, "Ghjjk"
345, 255555, 10, "Jdjsjsjak"
346, 590001, 21, ""
347, 486358, 17, "Hdjsja"
348, 248440, 10, "Happy Birthday "
349, 590001, 21, "Hdud"
350, 590001, 21, "Ydydfh"
351, 590001, 21, ""
352, 590001, 21, "Ffufu"
353, 590001, 21, "Hgdr"
354, 590001, 21, "Chudhf"
355, 590001, 21, ""
356, 590001, 21, ""
357, 333333, 13, "Test anusha"
358, 590001, 21, ""
359, 590001, 21, ""
360, 590001, 21, ""
361, 48624, 1, ""
362, 333333, 13, "test anusha"
363, 167026, 6, "Merry Christmas!"
364, 680527, 23, "Happy SG50"
365, 680527, 23, "Happy sg50"
366, 680527, 23, "Happy sg50"
367, 590001, 21, ""
368, 590001, 21, ""
369, 117536, 4, ""
370, 487372, 17, "Happy"
371, 609650, 21, "Pls lah. Just Relax"
372, 609650, 21, "Hey Jude! Don't make it bad"
373, 333333, 13, "Anusha Testing"
374, 333333, 13, "Anusha Testing"
375, 333333, 13, "Anusha test"
376, 645765, 22, "Jxnznnz"
377, 657566, 22, "Ksjshjama"
378, 655555, 22, "Hshjssk"
379, 556697, 19, "Hdjsa"
380, 569675, 19, "Hdbsjsk"
381, 568825, 19, "Hdbsjska"
382, 648085, 22, "Nsnal"
383, 333333, 13, ""
384, 222222, 9, ""
385, 586985, 20, "Fgjhh"
386, 487564, 17, "Ghgssw"
387, 487504, 17, "Fgggg"
388, 486842, 17, "Hi "
389, 285456, 11, "Fbsbgf"
390, 665458, 23, "Fdsjhf"
391, 523698, 18, "Hi"
392, 235462, 10, "Hi"
393, 243651, 10, "Hi"
394, 478955, 16, "Fhedghy"
395, 590001, 21, ""
396, 461033, 16, "Hello!"
397, 69911, 2, "Reema you are the best"
398, 487383, 17, "Fdsjhf"
399, 509373, 17, "Hello"
400, 696477, 23, "Jdksjsba"
401, 719026, 24, ""
402, 719026, 24, ""
403, 719026, 24, ""
404, 719026, 24, ""
405, 719026, 24, ""
406, 333333, 13, ""
407, 333333, 13, ""
408, 234562, 10, "Hello "
409, 265432, 10, "Hi"
410, 321456, 12, "Hi"
411, 486842, 17, "Hey"
412, 236542, 10, "Hope "
413, 689955, 23, "Hdkla"
414, 590001, 21, ""
415, 568855, 19, "Hdkkaka"
416, 590001, 21, ""
417, 487373, 17, "Happy"
418, 117536, 4, ""
419, 319762, 12, "Happy New Year"
420, 489877, 17, "Yahoo! "
421, 117536, 4, ""
422, 298734, 11, "Good "
423, 143678, 5, "Hi"
424, 567438, 19, "Hi"
425, 465312, 16, "Hello "
426, 423521, 15, "Nice"
427, 123456, 4, "G"
428, 510244, 18, "Happy December! "
429, 259569, 10, "SBG YAY"
430, 167026, 6, "Happy Holidays"
431, 319762, 12, "to be always happy"
432, 319762, 12, "Happy 2016!"
433, 319762, 12, "Ho Ho Ho "
434, 400352, 14, "I love Xiao Jing!"
435, 400352, 14, "I love Xiao Jing!"
436, 236541, 10, "Hi"
437, 123456, 4, ""
438, 598586, 21, ""
439, 590001, 21, ""
440, 319762, 12, ""
441, 8522, 1, "Testing"
442, 167026, 6, "Happy!"
443, 550112, 19, "happy sg50"
444, 319762, 12, ""
445, 248440, 10, "Happy Holidays "
446, 319762, 12, "Joy! "
