x,y,i,j,0
195,270,13,18,0
202.5,285,13,19,0
195,300,13,20,0
210,0,14,0,0
217.5,15,14,1,0
210,30,14,2,0
217.5,45,14,3,0
210,60,14,4,0
217.5,75,14,5,0
210,90,14,6,0
217.5,105,14,7,0
210,120,14,8,0
217.5,135,14,9,0
210,150,14,10,0
217.5,165,14,11,0
210,180,14,12,0
217.5,195,14,13,0
210,210,14,14,0
217.5,225,14,15,0
210,240,14,16,0
217.5,255,14,17,0
210,270,14,18,0
217.5,285,14,19,0
210,300,14,20,0
225,0,15,0,0
232.5,15,15,1,0
225,30,15,2,0
232.5,45,15,3,0
225,60,15,4,0
232.5,75,15,5,0
225,90,15,6,0
232.5,105,15,7,0
225,120,15,8,0
232.5,135,15,9,0
225,150,15,10,0
232.5,165,15,11,0
225,180,15,12,0
232.5,195,15,13,0
225,210,15,14,0
232.5,225,15,15,0
225,240,15,16,0
232.5,255,15,17,0
225,270,15,18,0
232.5,285,15,19,0
225,300,15,20,0
240,0,16,0,0
247.5,15,16,1,0
240,30,16,2,0
247.5,45,16,3,0
240,60,16,4,0
247.5,75,16,5,0
240,90,16,6,0
247.5,105,16,7,0
240,120,16,8,0
247.5,135,16,9,0
240,150,16,10,0
247.5,165,16,11,0
240,180,16,12,0
247.5,195,16,13,0
240,210,16,14,0
247.5,225,16,15,0
240,240,16,16,0
247.5,255,16,17,0
240,270,16,18,0
247.5,285,16,19,0
240,300,16,20,0
255,0,17,0,0
262.5,15,17,1,0
255,30,17,2,0
262.5,45,17,3,0
255,60,17,4,0
262.5,75,17,5,0
255,90,17,6,0
262.5,105,17,7,0
255,120,17,8,0
262.5,135,17,9,0
255,150,17,10,0
262.5,165,17,11,0
255,180,17,12,0
262.5,195,17,13,0
255,210,17,14,0
262.5,225,17,15,0
255,240,17,16,0
262.5,255,17,17,0
255,270,17,18,0
262.5,285,17,19,0
255,300,17,20,0
270,0,18,0,0
277.5,15,18,1,0
270,30,18,2,0
277.5,45,18,3,0
270,60,18,4,0
277.5,75,18,5,0
270,90,18,6,0
277.5,105,18,7,0
270,120,18,8,0
277.5,135,18,9,0
270,150,18,10,0
277.5,165,18,11,0
270,180,18,12,0
277.5,195,18,13,0
270,210,18,14,0
277.5,225,18,15,0
270,240,18,16,0
277.5,255,18,17,0
270,270,18,18,0
277.5,285,18,19,0
270,300,18,20,0
285,0,19,0,0
292.5,15,19,1,0
285,30,19,2,0
292.5,45,19,3,0
285,60,19,4,0
292.5,75,19,5,0
285,90,19,6,0
292.5,105,19,7,0
285,120,19,8,0
292.5,135,19,9,0
285,150,19,10,0
292.5,165,19,11,0
285,180,19,12,0
292.5,195,19,13,0
285,210,19,14,0
292.5,225,19,15,0
285,240,19,16,0
292.5,255,19,17,0
285,270,19,18,0
292.5,285,19,19,0
285,300,19,20,0
300,0,20,0,0
307.5,15,20,1,0
300,30,20,2,0
307.5,45,20,3,0
300,60,20,4,0
307.5,75,20,5,0
300,90,20,6,0
307.5,105,20,7,0
300,120,20,8,0
307.5,135,20,9,0
300,150,20,10,0
307.5,165,20,11,0
300,180,20,12,0
307.5,195,20,13,0
300,210,20,14,0
307.5,225,20,15,0
300,240,20,16,0
307.5,255,20,17,0
300,270,20,18,0
307.5,285,20,19,0
300,300,20,20,0
