x,y,value
98,450,1
164,406,1
186,978,1
252,934,1
340,494,1
406,890,1
604,142,1
648,1110,1
692,54,1
758,978,1
956,846,1
1044,318,1
1066,450,1
1088,846,1
1110,978,1
1154,274,1
