x,y,value
76,142,1
54,274,1
76,318,1
120,54,1
120,230,1
98,362,1
164,142,1
142,274,1
142,450,1
164,494,1
208,230,1
186,362,1
208,406,1
186,538,1
208,582,1
230,274,1
252,318,1
252,494,1
230,626,1
252,670,1
296,54,1
296,406,1
274,538,1
296,582,1
296,758,1
318,98,1
318,450,1
340,670,1
318,802,1
340,846,1
362,186,1
384,230,1
362,538,1
384,582,1
362,714,1
384,758,1
362,890,1
384,934,1
428,54,1
406,274,1
428,670,1
428,846,1
406,978,1
428,1022,1
472,142,1
450,362,1
472,406,1
450,714,1
450,890,1
472,934,1
450,1066,1
472,1110,1
516,230,1
494,450,1
494,978,1
516,1022,1
494,1154,1
516,1198,1
538,274,1
560,318,1
538,538,1
560,582,1
538,1066,1
604,406,1
582,626,1
604,670,1
626,450,1
648,494,1
626,714,1
648,758,1
670,802,1
