x,y,value
164,318,1
142,450,1
186,362,1
186,538,1
208,582,1
252,318,1
252,494,1
252,670,1
274,362,1
296,406,1
296,582,1
274,714,1
296,758,1
340,494,1
318,626,1
340,670,1
340,846,1
362,538,1
384,758,1
362,890,1
384,934,1
406,274,1
428,318,1
406,626,1
428,670,1
406,802,1
428,846,1
428,1022,1
450,362,1
472,758,1
472,934,1
450,1066,1
472,1110,1
494,450,1
516,494,1
494,802,1
516,1022,1
494,1154,1
560,318,1
538,538,1
538,1066,1
560,1110,1
538,1242,1
560,1286,1
582,362,1
604,406,1
582,626,1
604,670,1
582,1154,1
648,494,1
670,538,1
692,582,1
670,802,1
692,846,1
714,890,1
