x,y,value
32,54,1
10,186,1
76,142,1
54,274,1
76,318,1
98,10,1
120,54,1
98,186,1
98,362,1
120,406,1
142,98,1
164,142,1
142,274,1
164,318,1
142,450,1
164,494,1
186,186,1
208,230,1
186,362,1
208,406,1
186,538,1
208,582,1
230,274,1
252,318,1
230,450,1
252,494,1
274,10,1
296,54,1
274,362,1
296,406,1
274,538,1
296,582,1
340,142,1
318,626,1
340,670,1
362,186,1
384,230,1
362,714,1
384,758,1
406,10,1
428,54,1
406,274,1
428,318,1
406,802,1
428,846,1
450,98,1
472,142,1
450,362,1
472,406,1
494,186,1
516,230,1
494,450,1
516,494,1
538,274,1
538,538,1
560,582,1
