x,y,value
76,142,1
54,274,1
76,318,1
120,54,1
98,186,1
120,230,1
120,406,1
142,98,1
164,318,1
142,450,1
164,494,1
186,186,1
208,230,1
186,362,1
186,538,1
208,582,1
230,274,1
230,450,1
252,494,1
230,626,1
252,670,1
296,54,1
274,362,1
296,406,1
274,538,1
274,714,1
296,758,1
340,142,1
318,450,1
340,494,1
318,626,1
340,670,1
318,802,1
340,846,1
362,186,1
384,230,1
362,538,1
362,714,1
362,890,1
384,934,1
428,54,1
428,318,1
406,626,1
428,670,1
406,802,1
428,846,1
406,978,1
428,1022,1
450,98,1
450,362,1
472,406,1
450,890,1
472,934,1
450,1066,1
494,186,1
516,230,1
516,494,1
494,978,1
516,1022,1
538,274,1
538,538,1
560,582,1
582,362,1
604,406,1
582,626,1
604,670,1
626,450,1
626,714,1
648,758,1
