x,y,value
164,406,1
208,406,1
252,406,1
252,934,1
274,450,1
296,846,1
274,890,1
274,978,1
340,406,1
340,494,1
340,846,1
340,934,1
362,450,1
384,494,1
362,538,1
362,802,1
384,846,1
428,494,1
406,714,1
428,758,1
406,802,1
450,714,1
450,802,1
494,538,1
516,758,1
626,98,1
648,230,1
626,274,1
648,318,1
626,362,1
648,1022,1
692,142,1
692,230,1
670,362,1
692,846,1
692,934,1
670,978,1
692,1110,1
714,186,1
714,802,1
736,846,1
714,890,1
736,934,1
714,978,1
714,1066,1
868,494,1
868,758,1
890,362,1
890,450,1
912,494,1
890,714,1
890,802,1
912,846,1
934,450,1
934,714,1
956,846,1
978,362,1
1000,406,1
978,450,1
1000,846,1
978,890,1
1044,318,1
1022,362,1
1044,406,1
1022,890,1
1088,934,1
1110,978,1
1154,274,1
