186,362,1
252,406,1
230,450,1
252,934,1
296,406,1
296,846,1
274,890,1
274,978,1
340,406,1
340,494,1
340,846,1
340,934,1
362,450,1
384,494,1
384,758,1
362,802,1
384,846,1
406,450,1
428,494,1
406,714,1
428,758,1
406,802,1
450,538,1
450,714,1
450,802,1
494,538,1
516,670,1
516,758,1
494,802,1
604,318,1
582,362,1
626,186,1
648,230,1
626,802,1
648,846,1
648,934,1
626,978,1
670,186,1
692,230,1
670,274,1
692,318,1
670,362,1
692,406,1
692,846,1
670,890,1
692,934,1
692,1022,1
714,98,1
714,802,1
714,890,1
714,978,1
714,1066,1
780,758,1
780,846,1
868,406,1
846,450,1
868,494,1
846,714,1
846,802,1
912,406,1
912,494,1
890,538,1
890,714,1
912,758,1
890,802,1
934,450,1
934,802,1
978,362,1
1000,406,1
978,450,1
978,802,1
1000,846,1
978,890,1
1022,362,1
1044,934,1
1088,318,1
1066,450,1
1066,890,1
1088,934,1
1110,274,1
